trial,rank,regParam,maxIter,rmse
1,10,0.01,10,1.1177098725071026
2,10,0.01,15,0.9813284569742595
3,10,0.05,10,0.8053256061359213
4,10,0.05,15,0.751238877808168
5,10,0.1,10,0.7670665274440148
6,10,0.1,15,0.7267984198175195
7,20,0.01,10,0.7707443597016316
8,20,0.01,15,0.720365710434875
9,20,0.05,10,0.6672133217461298
10,20,0.05,15,0.6392354726734509
11,20,0.1,10,0.6780119139147579
12,20,0.1,15,0.6621569001667618
13,40,0.01,10,0.678991257745708
14,40,0.01,15,0.6529832486188244
15,40,0.05,10,0.6282100828450088
16,40,0.05,15,0.6142919890151934
17,40,0.1,10,0.6617927386814111
18,40,0.1,15,0.6522614477750259
